2025-01-25 12:25:17 | services.logs:logs_bot:40 | ERROR | Error creating user: _create_user() takes 1 positional argument but 2 were given
2025-01-25 12:39:43 | services.logs:logs_bot:40 | ERROR | Error creating user: _create_user() takes 1 positional argument but 2 were given
2025-01-25 12:42:29 | services.logs:logs_bot:40 | ERROR | Error checking existing user: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:42:29 | services.logs:logs_bot:40 | ERROR | Error creating user: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Message(message_user)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:44:55 | services.logs:logs_bot:40 | ERROR | Error checking existing user: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:44:55 | services.logs:logs_bot:40 | ERROR | Error creating user: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Message(message_user)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:45:53 | services.logs:logs_bot:40 | ERROR | Error checking existing user: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:45:53 | services.logs:logs_bot:40 | ERROR | Error creating user: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Message(message_user)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:48:11 | services.logs:logs_bot:40 | ERROR | Error checking existing user: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:48:12 | services.logs:logs_bot:40 | ERROR | Error creating user: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Message(message_user)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:49:01 | services.logs:logs_bot:40 | ERROR | Error checking existing user: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:49:01 | services.logs:logs_bot:40 | ERROR | Error creating user: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Message(message_user)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:49:25 | services.logs:logs_bot:40 | ERROR | Error checking existing user: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:49:25 | services.logs:logs_bot:40 | ERROR | Error creating user: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Message(message_user)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:54:08 | services.logs:logs_bot:40 | ERROR | Error checking existing user: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:54:08 | services.logs:logs_bot:40 | ERROR | Error creating user: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Message(message_user)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:55:57 | services.logs:logs_bot:40 | ERROR | Error checking existing user: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:55:57 | services.logs:logs_bot:40 | ERROR | Error creating user: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Message(message_user)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:56:47 | services.logs:logs_bot:40 | ERROR | Error checking existing user: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:56:48 | services.logs:logs_bot:40 | ERROR | Error creating user: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Message(message_user)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'messages'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:59:43 | services.logs:logs_bot:40 | ERROR | Error checking existing user: Mapper 'Mapper[User(users)]' has no property 'messages_user'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 12:59:44 | services.logs:logs_bot:40 | ERROR | Error creating user: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[Message(message_user)]'. Original exception was: Mapper 'Mapper[User(users)]' has no property 'messages_user'.  If this property was indicated from other mappers or configure events, ensure registry.configure() has been called.
2025-01-25 13:22:54 | services.logs:logs_bot:40 | ERROR | Bot work off.. Telegram server says - Bad Request: bad webhook: An HTTPS URL must be provided for webhook
2025-01-25 13:28:28 | services.logs:logs_bot:40 | ERROR | Bot work off.. Telegram server says - Bad Request: bad webhook: An HTTPS URL must be provided for webhook
2025-01-25 13:30:19 | services.logs:logs_bot:40 | ERROR | Bot work off.. Telegram server says - Bad Request: bad webhook: An HTTPS URL must be provided for webhook
2025-01-25 13:31:15 | services.logs:logs_bot:40 | ERROR | Bot work off.. Telegram server says - Bad Request: bad webhook: An HTTPS URL must be provided for webhook
