2025-01-25 00:54:17 | services.logs:logs_bot:41 | INFO | Bot is ready to work
2025-01-25 00:54:29 | services.logs:logs_bot:41 | INFO | admin panel
2025-01-25 00:55:15 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 00:55:22 | services.logs:logs_bot:40 | INFO | admin panel
2025-01-25 00:58:07 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 11:38:07 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 11:39:57 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 11:43:30 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:24:42 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:30:34 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:31:11 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:35:38 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:39:27 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:40:37 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:44:50 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:45:49 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:47:49 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:48:57 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:49:18 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:53:08 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:55:53 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:56:39 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:58:35 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 12:59:35 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 13:00:30 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 13:22:50 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 13:31:50 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 13:32:12 | services.logs:logs_bot:40 | INFO | User with id 1182394667 already exists
2025-01-25 13:33:04 | services.logs:logs_bot:40 | INFO | User with id 1182394667 already exists
2025-01-25 13:33:07 | services.logs:logs_bot:40 | INFO | User with id 1182394667 already exists
2025-01-25 13:33:20 | services.logs:logs_bot:40 | INFO | User with id 1182394667 already exists
2025-01-25 13:34:22 | services.logs:logs_bot:40 | INFO | Bot is ready to work
2025-01-25 13:34:27 | services.logs:logs_bot:40 | INFO | User with id 1182394667 already exists
